Tweet,Label
台蛙围攻谩骂世卫组织总干事的声音，世卫组织听到了！ ,Abusive-only
台湾一个中东难民都没有，否则穆斯林不吃你这一套,Neither
求求你有些知之自明，不要出来丢台湾人的脸好不好战争打的是地缘政治，你只从军队战力去考虑还那么理直气壮反问？？哦我差点忘了，大陆人命比较贵，不似您那么可有可无😆希望您届时抵抗到底，以身殉独哟,Neither
快去睡啦，明天再補看吧,Neither
RT : 中国驻美大使崔天凯宣布近期离任 称美中关系处在关键十字路口 ,Neither
還有人開口閉口就尼哥尼哥的，敢去美國喊尼哥嗎？真的很有國際觀,Neither
李文亮作为党员主动请缨上抗疫一线，以港灿的普遍水平是理解不了的,Hate-speech
这个问题太好啦👍这我就分析不出来了😅其实这件事的爆点就是哈里梅根的娃：作为一个有继承权的、有黑人血统的小娃娃（虽然继承序位被排在非常后面，但聊胜于无啊😂），王室对他的态度是什么？正如梅根哈里说的“大家都关心阿里的皮肤是不是黑的”,Neither
法轮功又在挑唆事端！ ,Neither
RT : 「繼香港之後，澳門當局今天也宣布駐台灣代表機構暫停運作，但未說明原因。有學者分析，北京方面顯然在主導事件，港、澳只能聽從。」 ,Neither
鉴于犯人是加拿大籍，而且是很多台蛙、港灿废青、民运公知的野洋爹，就从轻从宽处理吧，无期徒刑。,Abusive-only
看了一条网友的评论，说得太对了！反华几大主力：废青、呆、某些华裔二鬼子、AV国鬼子、南朝鲜棒子、越南猴子、印度阿三。猜都不用猜，这些狗已经被捏得死死的了，也不用装什么老外，炮灰和嫖伴的一般都是先上。,Hate-speech
卧槽！卧槽！这不是台蛙么？,Abusive-only
台蛙除了每天吃凤梨，还到处造谣。 ,Abusive-only
我香囊没丢！它掉在我房间里了！ ,Neither
另一个点是遗嘱有三（六）十天的有效期，例子是爷爷去世给从小一起长大的孙子（父母早逝）留了一套北京四合院，孙子在国外上学，叔叔刻意不通知孙子，遗嘱时限到期后失效，孙子回国打官司，最后也只能对半分。,Neither
咦為什麼世雲今天戴帽子👀,Neither
和台蛙一个嘴脸,Abusive-only
RT :  不过，老徐，我还是这个困惑。李洪志法轮功是堪比洪秀全拜上帝会的邪教。假以时日，他一定会发育成类似太平天国。先不谈朝廷政治。仅就国家的层面，比如在预知洪秀全会成为太平天国的情况下，朝廷应该在洪秀全在花县发育时期就镇压，还…,Neither
印度阿三就是印度阿三，恒河水当疫苗把脑子打坏了吧,Hate-speech
我的天这也太恐怖了😱……,Neither
RT : 中國人難逃被奴役的宿命，在短短不到十年，一個似乎准備迎來民主自由的大國，又一次倒退到毛禍時代。而這次倒退更加波及香港、台灣、美國，乃至全世界。中國人人已經沒有希望，因為兩千多個人大代表，唯一肯定能代表中國人的東西，就是中國人的奴性。…,Neither
羞愧你妈，你个越南猴子滚开,Hate-speech
我对这个说法持怀疑，无量媒体能把很多人忽悠瘸了，这在这次大选中太明显了。,Neither
这屁股好爱呀,Neither
高中可以，因為高中不屬於義務教育（,Neither
早他妈走资了,Neither
民主了就没有支那人了吗？支那是褒义词。现在说你是中国人那才是贬义词。 ,Neither
對，就跟我看到我自己的臉就想毀掉一樣，然後聽到別人說「我覺得你漂亮阿，你不應該這樣想」的時候真的黑人問號，我就是對因為被外貌霸凌所以焦慮的阿?_? ,Neither
恭喜歸家千訂！☺️期待之後的慶祝活動也要記得好好休息~照著自己的腳步來，一步一步向前進吧💪,Neither
RT : 中共统治下的中国，宗教在党的领导下一切向钱看，很多和尚都是骗子。 ,Neither
黑鬼是这个世界的毒瘤，丑国的人权在哪里？,Hate-speech
没人拦着你去做狗，记的换张白皮，不然你的主人还是会歧视你,Abusive-only
支那瞄準臺灣2000枚以上飛彈會不會攻擊到 國民黨黨部,Abusive-only
黑人至上在美国热火朝天的街头运动，结合各州大中小学校洗脑白人原罪，不知道如何破局？,Neither
不管是对本国还是对外国，中国始终坚持人民至上，生命至上，为世界各国的抗疫贡献中国力量，这是大国担当，大国风范。反观一些国家，拉帮结派，只想维护自己的小集团利益。,Neither
這位請直接滅了，對社會好（遞槍）,Neither
多年来，共和党人错误地将穆斯林人标记为“恐怖分子”。20年后，共和党人证明他们一直都是真正的恐怖分子。,Neither
”老祖宗的智慧”不能丢啊，运用得当还是有正面意义的阿，不全是坏的,Neither
印度妹说我是她认识的人里，唯一不想回国的。作为普通人，除了精神世界匮乏以外，我不想过一眼望到头的人生。工资上缴给父母，有喜欢的人都不敢追；想学一门手艺，哪怕是做饭，只能等到退休以后；想要旅行，连徒步去公园的时间都没有；明明想干的事很多，却不得不安慰自己，实现榴莲自由我就很满足了。,Neither
路边和尚👨‍🦲,Neither
港渣啊，继续闹吧，拼命把,Hate-speech
不得不说，这印度人真是不一样，他们真不怕病毒啊~~~印度昨天迎来了全球最大的宗教集会，预计一亿以上人参加，群体免疫最后一块拼图 ,Neither
好爱啊,Neither
😋😋😋👍👍炒的小辣謝謝！,Neither
最後會變成及川幫飛雄攻略及川（及川：唉唷小飛雄怎麼這麼笨當然不是選這個啊😤（開始自我介紹,Neither
甲沟炎太烦了😭,Neither
每天意淫獨立能高潮幾次？地球毀滅的那一天你們這幫穆畜都沒可能獨立。化肥廠是你們最好的歸屬，而不是集中營。,Hate-speech
骂台湾人我都是这样骂的:假如凤梨保质期7天，凤梨季节30天，十个人每人每天吃一个，每个凤梨10元钱，3个卖凤梨的人每个凤梨能赚1元。凤梨过保质期每个亏10元突然有个人退出不吃了，问这个时…,Neither
呢個大馬印度人嘅廣東話 唔會差過香港啲印度人㗎😅  via ,Neither
跳墙蛤蟆被抽十棍子才哀嚎一嗓子，难道忙着给宁家女性掰开大腿求永居黒蜀黍长驱直入播黑种呢？,Abusive-only
杰克上班时干活不慎摔伤，需要住院治疗。一位年轻漂亮的护士拿着表格让他填写，杰克填完后把表格递给护士。“还有什么漏填吗？”护士问。“有，”杰克想了想说，“我是单身汉。”,Neither
声量还是太少 况且台Frog face和港废联动的反中组织奶茶联盟已经做了一大堆文宣图带风向 这些也只能在相对中立的人群中传播,Hate-speech
是的，華人後代讓人期待，中國大陸的年輕人道德水準也普遍好於60歲以上的人。,Neither
我乱说的，不要当真啊🐸,Neither
偷窺與搶劫比靠真本事光明正大有尊嚴地獲得來得既容易又快捷，乃叢林世界高智商動物-----黑猩猩們的邏輯，讓美國回到200多年前，是黑猩猩們的夢寐以求……嘎嘎,Hate-speech
雲雀…太孤陋寡聞…不知道這種生物的存在……不用告訴我這些恐怖的生物(昆蟲)……,Neither
RT : 北京小粉紅舉報「台獨」卻被罰崩潰大哭近日，一位北京的小粉紅到當地派出所舉報所謂的「台獨」，卻因「違法翻牆」被罰款3千元人民幣，不少網友看到視頻後哈哈大笑。 ,Neither
想想最大受害者是谁小日子过的不错的日本鬼子，b大点地儿还好意思说狗杂种回娘胎里重开吧😅😅,Hate-speech
这都三月了，2021年三月了英国大兄弟，第一季度都要过完了，你们脑回路是黑猩猩的吗？什么反应速度？,Neither
轮子说的活摘器官原来是美国啊！,Abusive-only
上海人是全国最早骂台巴子的，从来没听人提起过台湾凤梨，徐闻凤梨满大街都是，很甜。小编是台蛙吧,Abusive-only
甚至可以这么说，欧洲各国也都在重走中国在民族政策上的老路。无论何种原因，开始的时候，各国对待少数民族、穆斯林、移民、难民都是以包容接纳为主，希望所有人都相安无事，甚至愿意提供较好的福利和政策。然而事与愿违。所以接下来看到的是各国政策的收紧。中国在这方面只是走得比较快手段更严苛而已,Neither
對惡的善就是惡。台巴賤畜說的就是你這樣的畜牲吧？！怪不得沒有一點教養！你詮釋再現了臺巴賤畜的意思。厲害,Hate-speech
穆斯林朝圣者13日斋月第一天在沙特麦加绕行卡巴天房(Kaaba)。由于新冠病毒疫情只有少数人能够进入天房所在的大清真寺，人们在绕行时要遵守社交距离,Neither
远离日本鬼子,Hate-speech
RT : 由於有太多非香港人成日代表香港人認親認戚咁話「同樣係華人，香港人⋯」，往後我要似M咁月月講⬇️➡️香港人唔係華人！⬅️，華你老母---借 張圖 ,Neither
惭愧我以前是辛得追随者.这次疫情他完全撕掉伪装 和轮子一起中国病毒 贸易战… ,Abusive-only
後來我看有人說賣淫都是有計時的，當然很快就要射，不然還要加錢😂😂,Neither
不是，你以为中国和你阿三一样穷吗？,Hate-speech
这个问题很简单，你为什么移民白人为主的国家呢？你为什么不敢住黑人社区呢？天天拿这个世界上最不歧视亚裔的白人开涮，你真勇敢呀黄左。赶紧移民黑人国家住进黑人社区吧，别再被白… ,Neither
Fuck你老母啊，哪兒個糞坑出來的死支那蛆蟲！！,Hate-speech
佛教在中国还是佛教吗，不必这么认真看待，看看那些和尚就知道寺庙的存在只是一个行业的存在。,Neither
西方文明自诞生以来，想了13000年（从小亚细亚哥贝克力石阵遗址开始算）才想出《1984》里面的统治术，而支那文明诞生2000年就出了孔老二和暴秦，支那文化在研究限制人的思想方面的成就领先西方一万年。支那文明最先进的地方就是这个了，再给西方文明一万年估计都想不出居然还能这么统治。,Abusive-only
为什么要装成美女啊？虚荣心吗？这现实中得有多寂寞,Neither
等着日本鬼子用最便宜的价格骗走你的东西吧,Abusive-only
这小朋友吃的胖嘟嘟，穿的也不错呀，阿富汗叙利亚的穆斯林小朋友羡慕了。,Neither
RT : 宝宝在飞机上哭闹 脱口秀妈妈妙对抱怨乘客如果你要带着年幼的孩子们乘飞机，孩子吵闹时，请花一点时间对周围的乘客说：“我很抱歉，这不是您习惯的事。您知道，很多文化都把婴儿的哭闹声视为富足的象征和上帝的祝福。但是，愚蠢的后现代文化却把婴儿看成是负担。”…,Neither
文贵，有种！我还没见过有人敢这样挑战法庭。你果然是古今第一人！👍👍👍👍,Neither
灵力足了，就可以成仙了😂,Neither
Redd夠難寫了真的不要一年兩次😭,Neither
裝你媽個逼的太君 你阿嬤是不是當年也是自願的？萊豬好不好吃？頭頂的飛機好不好看？幹你媽的台巴賤畜,Hate-speech
什麽中文？記住你是越南猴子的後代，建議全用字母，射射,Hate-speech
这就是为什么会被叫穆畜！,Hate-speech
这个世界如果奉行黄种人至上，那动乱和奴役将会少许多。白人，资本家，利益至上，狡诈自利。黑人，农民，智商低下，懒惰，除了一身肌肉一无是处！,Hate-speech
又是一个轮子,Neither
我今天好像都沒有發廢推所以我來ㄌ😍😍今天超開心ㄉ 之後我們家就會養貓貓ㄌ超級快樂💕💕🥳‼️,Neither
RT : 冬美想跟兄弟們分享姐妹的美好(？？-#todorokifamily ,Neither
印度人习惯了被殖民，怪不得几千年不断被雅利安人，蒙古人，阿富汗人，英国人被侵略😂😂😂😂,Neither
沙甸暴乱，滇省自古以来，绿化严重，清时有杜文秀暴乱，屠杀数百万人，导致物阜民丰的滇西几成白地。并且，杜文秀此贼跟同治回乱有直接关系，对后者有启发作用。可惜赤匪绿化严重，官方居然认为此贼是起义。沙甸是大约五十年前发生在滇省的另一次暴乱，穆畜贩毒暴力，开远县群众苦不堪言。最离谱的a),Hate-speech
尽管如此，这话也就印度人自己能说。好比俩黑哥们互称尼哥可能没问题，白人说就不行，关系再好都不行🤷‍♂️ ,Neither
最喜欢黑居老师了，可惜不会日语，听不太懂老师平时说的话,Neither
台鲑鱼皮子贱，没办法！天天都得去巡航！过两天开始横穿蛙岛！,Hate-speech
和穆斯林、维族、藏族和蒙古族等蛮族同学喝酒就很高兴，也很放心，喝多了也不用怕，二百斤的胖子也能找个板车把你安全的弄回来，和高贵汉人同学喝酒就不一样了，自己赖酒、逃酒，却使劲给别人劝酒，各种套话，就等着看你出丑，喝多了也没人管你，巴不得你睡大街或掉河里，真是恶意满满啊！,Neither
RT : 现代版资本家倒牛奶 ,Neither
RT : 中国网民真的很奇怪对外国人说他们是尼哥，鬼子，毛子，猴子，棒子，阿三，白皮猪..然后还觉得自己大义凌然，作为地球上少有的共产主义国家，扛起了国际主义的大旗，没有什么种族主义但当别人说他们一句支那的时候，就觉得不可思议，自己被歧视了，被冒犯…,Neither
我想了一下为啥听印度人的英语没有听有些冲国人的难受因为有些人根本分不清轻重音读的也不对听得我难受的要死😥,Neither
大陸朋友說香港「(香港)民主重要還是(大陸人要靠香港)吃飯重要？」我都會反問：「我看你真的像個曾沒吃過飽飯似的～～～」,Neither
我发现都他妈的在墙外了，有些洋狗明明就是无比仇党没有一点基本的作为国人的爱国之情，却又不敢直说。只能暗戳戳转一些推文发表一些阴阳怪气的评论 真是又怂又垃圾👎👎👎,Abusive-only
推特上潜龟则：呆蛙难波万，泯注逗比难波吐，港渣难波尿,Hate-speech
你们轮子这么牛B，这么法力无边翻个译不就是发一阵功的事么？,Abusive-only
亚洲男人爆锤黑鬼的视频比比皆是，不想着锻炼身体，怪对方强壮？,Abusive-only
刚坐下，看了眼数据……好在我没看第一盘是吗,Neither
RT : 昨天推特上学了这个咸蛋黄粽子，今天试试，哎呀妈太好吃了 ,Neither
現在工作薪水很多嗎？,Neither
对，有钱，买遍全球，全球化经济，港渣不懂,Hate-speech
"我顶你,顶住你",Neither
你的祖宗是德國人，俄國人，黑人還是印度人? 🤣🤣🤣,Neither
美国黄人被 美国白人 洗脑，跟着白人 极端 歧视 黑人。 ,Neither
和凑小沫的合委 ,Neither
比兩年前做的 2868 中有 1 人還低，原來逐漸變得難相處了ㄇ🥲 ,Neither
这弱鸡得本事就是只会拿whataboutism,Neither
她爹美国，她妈日本，所以只用英文和鬼子语,Abusive-only
感觉也不是一定要贬清华，艺术本来是主观的体验 ,Neither
在阿叉店里吃下来最喜欢的蔬菜搭配的咖喱了=。=成功偷师回来了,Abusive-only
刚看到佛国出场的部分，弹幕里一唱一和的好好笑，😂“好神奇，终于能看到光头和尚了”“看看隔壁（指霹雳）佛乡，一堆长发飘飘还总被人叫秃驴”hhhhh,Neither
RT : 我好菜啊.jpg ,Neither
武漢你媽閪正撲街講物柒廣東話，你係廣東人咩狗閪港燦,Hate-speech
一个白莲花 一边装理中客 一边拉偏架 怼不过就b人 怼了那么多印度人还没哪个b我的 反而这些香蕉一个个玻璃心 理亏就b 真jian ,Abusive-only
现今的中国，貌似繁荣，但社会危机已经积累到了空前的地步。按照中共的习性，或许将再一次施展其过去的伎俩，这包括再次做出某种程度的妥协，对六四事件当事人或者法轮功等平反，又或者制造出“一小撮”敌人，以继续供其展示暴力恐怖力量。,Neither
日本说福岛核污水辐射量是联合国饮用水标准的1/7，这简直是排放纯净水了，大家为什么紧张？不信日本的数据吗？可以联合国派人监督，测试合格就排放（或者日本人可以自己饮用）,Neither
當然不能要～寶貝是我的！！,Neither
想起来，上次有个台湾人上大陆的网信办举报我翻墙，已经两个多月了，还一点动静的没有😅😅,Neither
那個手很辛苦 可以幫忙扶😳😳,Neither
這個姿勢好棒ㄑ多 來幫忙,Neither
大韩民国/朝鲜人民主义共和国都只是政治概念啊，同胞爱要超越政治概念…………啊啊啊啊啊啊啊啊啊啊啊啊你不是中国朝鲜族，还天天支那支那支那各种詈词啊🤦🤦,Neither
其实我就是想点进来看看有多少台蛙和汉奸尬黑中国，这换成美国疫苗，他们估计不黑美国还点赞，然后再顺便尬黑中国,Abusive-only
美国吓尿了，连剩饭都不敢给强国人准备,Neither
后续呢？尼哥上天了这是～～,Abusive-only
支持！看见轮子就往死里干！,Hate-speech
今天 市里来看项目，宽总一行晚上接待陪同。本来他们是约的下周呀，看来有些事情是我一厢情愿了。至少说明本地还是要留人。可能我自己有些情绪化了。,Neither
台蛙又出来搞笑？快去求雨挖井 ,Abusive-only
台湾人应该知道什么是“卸磨杀驴”吧...😄😄😄,Neither
国家的规划你一个小小的港独马贼能掀起什么风浪，拜拜了~继续站着做你的美国舔狗吧！在你能力范围内多犬吠一下。毕竟美国放弃的东西就像伊拉克阿富汗一样满目疮痍的。,Hate-speech
哪些Hongkongers?  那些越南猴子的后裔们么？还是大阴帝国的后裔们？,Hate-speech
宝藏博主居然还不红,Neither
越南猴子学几句中文就出来丢人现眼。或许你只是喜欢主子的铁拳。附照：民主的铁拳,Hate-speech
不快ww,Neither
桑德斯的竞选口号得到了时任参议院民主党竞选委员会负责人舒默的支持，当时的民主党参议院多数党领袖哈里里德说了句“奥巴马能上台是因为他没有黑人口音”被共和党围攻“种族歧视”，中文看不出多大意义，但是英语就不一样，当时他用的可不是Bla… ,Neither
不听点Nas都不知道黑人比皇汉还能吹www ,Neither
娜璉現在笑居然都變成拍手，定延在你旁邊啊啊啊啊啊啊,Neither
支那人天生就應該被管，，，,Hate-speech
日本鬼子急了，乱咬人,Hate-speech
急急如律令！我在「陰陽師」中召喚了強大的式神管狐，來和我一起遊歷平安京吧！ #陰陽師 ,Neither
RT : 36个小时剧痛，是生孩子吗？怎么挺下来的？邱少云转世的吗？炼功是什么？轮子功？ ,Neither
RT : 结果我们看到什么呢？民国士大夫抗战时都和蒋该死一起躲到西南去了还在那教些费拉国学玩意，没看见谁教的了数理化了，所谓的民国大师无非是这样的东西，现在的人苛责他们我看也没必要苛责，你还能要求他们做什么呢？能够要求印度婆罗门阶层学习数理化吗？苏联的251工…,Neither
2020年山东省逾两千法轮功学员遭迫害 ,Neither
頻中移亞裔被黑猩猩無緣無故在紐約地鐵入口處襲擊打傷。美利堅幾年來發生如此多的迫害、歧視、壓迫華人和亞裔的種族仇恨襲擊及屠殺事件。仇華惡霸川普要為他川普沒日沒夜的說華人病毒，中國病毒，功夫流感之四年仇華反華排華的反動獨裁統治罪行。負上所有的責任和巨大代價。,Hate-speech
你在哪家练啊,Neither
那你有证据表明你的主人们的数据是真的么？那你有证据证明中国的是造假数据？说白了你就是轮子，反贼罢了，只会诡辩的玩意儿,Hate-speech
广州黑人聚会混血娃儿居多折射中国人种飞速退化（第539期）老毛固岩十恶不赦，但学工农兵以及群众体育造就身体健康一代，此后每况愈下跌跌不休，毛朝湾湾棒子小日本儿女性化愈演愈烈，毛朝小伙子兰花指搔首弄姿。何必悲观时事 每日直播时间… ,Neither
迈入“发达社会”的台蛙们，居然为了一顿免费的鲑鱼，把自己的身份证姓名改成“各种鲑鱼”，简直丧心病狂、臭不要脸，自己赚钱买来吃不香吗？ ,Abusive-only
RT : 安德森在2020年3月被升为正教授，同年，实验室经费暴涨。看看他职业生涯的track record，安德森在2020年的突然窜升极不寻常👀 ,Neither
你花時間去答呢條友根本就係多餘呢啲人係冇腦袋㗎你同佢講道德價值人權自由佢哋淨係會打飛機話自己有14億人講來講去都係嗰三篤屁佢哋唔唔會諗吓點解大陸人去到邊度都俾人討厭佢哋,Hate-speech
"我活得好好的，在海外献什么忠，死一个白人还不如多引入一些黑人阿拉伯人穆斯林什么的。我得去多支持一些这样的政策。""",Neither
RT : 撒谎和误导德国人民的媒体成员、医生、护士一起被处死：我就想知道大外宣、大裤衩里面的喉舌最终的下场是什么。 ,Neither
RT :  [中訳]今晚⏰23:00⏰🌳Minecraft🔨今天要來造自己的口水屋唷！拿著上次收集的材料、開啟認真模式✨距離４期生完全體＠還有２棟！！！⬇️待機所⬇️,Neither
統啦，哪次不統我從10歲聽中共當局講武統台灣聽到3X歲了，你不嫌煩我都嫌煩了，拜託快來🥱,Neither
RT : 性感的丝袜 ,Neither
哗众取宠之人。中国目前的信心和智慧，不是你这种台蛙能思考的。,Hate-speech
唱衰中国很多年了，也没见你bb成啥，反而中国越来越好，果然法轮功不行,Neither
RT :  但是亚裔实际上根据意识形态又分太多种，让他们团结一致比让他们死还难，不说各种民运各种毒，光轮子和蚂蚁就够他们分裂斗争好久，更有无脑华人川粉在一边以为自己可以跳脱出去冷眼旁观，让他们团结，根本没戏,Abusive-only
台蛙应该是没有学过双引号是什么意思,Abusive-only
他就好这口🤔,Neither
內地大乘成党校，是好事，改了旧时代的迷信风气。大乘和尚受党的领导，減少居士在家人的受骗。菩萨成了党员代名词，才是真正为民服务。,Neither
"一群港渣还好意思把自己标榜为学生。在在殖民地待久了，好不容易获点一点点权利,吃香太难看",Hate-speech
"RT : 中共暴政下韭菜活不起, 死不得, 除了選擇躺平還能如何?! Poor life of Chinese people under CCP ruling 😡😭 ",Neither
两国交战都不伤来使，何况非战时。印度真塔玛的是牲畜国家！草尼玛的印度阿三,Hate-speech
快进到激光笔是逃港废青带过去的😁,Hate-speech
達成成就  三穴齊開小騷母狗,Neither
有“人”说《进击的巨人》是一部“反战败作品”，我只能说如果谏山创这么年轻的日本人能够意识到要反的不是战而是战败，那么日本这个国家还是希望大大的。,Neither
最好就是台華語跟台華人最終被支那人併吞（雖然本質上就沒有差異了）而台語人南部獨立然後聯邦化、語區制度,Abusive-only
你知不知道蘇聯他媽的是東歐國家，是西方國家阿你個傻叉😅還有中國改革開放後一直到天安門事件，中美都在眉來眼去，就算是胡江時代，美國也不想要動怒中國，因為美國高層大多都是擁抱熊貓派 ,Abusive-only
和尚摸得，我摸不得。我挺支持那个权八老板的起诉,Neither
反正你女儿将来也是被日本鬼子操烂的命，没必要接种啦！,Hate-speech
人不大口气挺大  还国家大事  你连吃不吃莱猪都不自由     说不过跑了吧  台蛙就是逊啦,Hate-speech
RT : 现在生意多假，全靠网络，哎。 ,Neither
"我必須要承認 我說""""華人""""跟""""支那"""" 確實也是帶著看不起的歧視眼神 不過我不打算改就是了",Hate-speech
看你这么一说想起来了，我在这边碰到的，刁难我的政府雇员，全是印度人。等车时顺手从我的小推车里偷走我一盆花的 🌷🌷 是个年轻苗条的印度女孩  🤣🤣,Neither
有朋友白人嫁给黑人之后娘家就彻底断了联系，听说朋友怀孕之后朋友爸爸打来电话，朋友还挺高兴，然而对方第一句是孩子会是啥颜色。电话挂掉。从此当没有父母。,Neither
傻狗，进口莱猪的除了你们台巴子和白皮舔狗还有谁？还是说你就是一头莱猪说的你那么清楚的样子。,Abusive-only
我觉得香港人对她们很理解很包容很尊重的，没有歧视,Neither
其實人類社會和黑猩猩社會的政治之間最大的區別就是：人類社會那些人想當上帝，想充當實驗人員，把其他人都當傻子（或者想一切辦法把他們洗腦成傻子），這些人不但想擁有絕對，無上，不可挑釁的權利，還會把自己保護在一個誰都找不到他的觀望塔里在自然界裡這種黑猩猩早被其他猩猩打死了吧？,Neither
你就这水平？来回粘贴复制？你同伙好歹还认认真真鹦鹉学舌冒充下上海人、台湾人😂你业务水平不行啊，在监狱里要多学习。爷没兴趣逗低级五毛玩了。,Neither
死于黑人,Neither
废青这一行为直接让大陆人看清港暴的嘴脸，后面说再多也没用。,Hate-speech
为什么支那人这么贱？好想做台湾人、香港人、不奢望做欧美白人，哪怕是非洲嗨鬼也好过支那汉人，什么福利都没捞着,Hate-speech
回顾宁波工程大学命案，另外分析一下为什么洋垃圾会成为中国大学的宝贝。  来自 ,Hate-speech
RT : 三小  原來meet可以換背景我快過世 ,Neither
Google第三把交椅畀咗個阿叉...微軟個CEO又係阿叉，睇嚟似乎硅谷準備畀Uncle Sam同阿叉共榮了…,Abusive-only
白人媽媽都會生出黑人寶寶了 這…不奇怪 不奇怪!!🤪🤪🤪😅😅😅🤣🤣🤣,Neither
自由人文主義和最新的生命科學研究成果間已出現一條鴻溝，越多科學家認為，決定人類行為的非自由意志，而是荷爾蒙、基因和神經突觸，也就是說，我們和黑猩猩、狼和螞蟻並無不同。我們的司法和政治制度碰上這些發現，多半視而不見、不願面對。但坦白說，現在這堵牆還能維持多久？,Neither
叫他拍照就只會停下手邊的工作，然後微笑超不會拍照skskksks,Neither
中国没有黑皮白皮，治安可比着美国强多了，之前去加州大学玩，晚上那治安真没得说，黑社会可真不少呢，稍… ,Hate-speech
RT : 係喎 最重要就梗係要follow我啦😂,Neither
RT : 新疆发现10亿吨油气田👏👏👏 ,Neither
改革開放無港商，支那豬應該仲食緊樹皮,Hate-speech
明天放假終於可以好好休息想找人聊天😊 ,Neither
印度人其实很天真的，主要还是他们一直以来外交环境太好了，理解不了这个世界深刻的恶意，总觉得经济只要有那个趋势自然而然就能成第一，却看不到巨大的危险,Neither
下落黨我更推薦你玩DJMAX，喵賽克的判定和分數得分十分不專業⋯⋯,Neither
招一批轮子能高到哪里去😅,Abusive-only
视频：各族裔法轮功学员新年谢师恩,Neither
RT : 闫丽梦博士质疑：是谁给英国官员提供信息，说新冠病毒最可能的起源不是实验室？那是中共的信息误导战的一部分吗，还是说他就是为中共工作的一份子？ ,Neither
话说你们都是台湾人吗？还是大陆的？,Neither
傻逼黑鬼傻逼白皮猪傻逼中东狗，全他妈去死，媚外的贱逼母狗也全他妈死,Hate-speech
害我一直忘記手上的事w,Neither
越南人……好丑,Hate-speech
RT : 第一次看到这张照片的我不明白之后听了郭先生爆料的我貌似明白了现在成熟之后我才领悟，苍老师才是这里最贞洁的女人，称得上德艺双馨👍 ,Neither
不遺憾 - 李榮浩 (Sherman 卓振聲 翻唱）  via ,Neither
